ORF_ID	ORF_length	start	end	Contig_Name	Contig_length	strand	ec	taxonomy	product
M_T_PCIT_0_217	1022	280897	281919	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	UGMP family protein
M_T_PCIT_0_218	566	281980	282546	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	elongation factor P
M_T_PCIT_0_219	452	282943	283395	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	3-dehydroquinate dehydratase
M_T_PCIT_0_220	428	283417	283845	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	acetyl-CoA carboxylase biotin carboxyl carrier protein
M_T_PCIT_0_221	1382	284303	285685	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_222	2393	285943	288336	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_223	983	288352	289335	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	phenylalanyl-tRNA synthetase
M_T_PCIT_0_224	359	289629	289988	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	50S ribosomal protein L20
M_T_PCIT_0_225	197	290041	290238	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	50S ribosomal protein L35
M_T_PCIT_0_226	425	290265	290690	M_T_PCIT_0	538294	-		Enterobacteriaceae (543)	translation initiation factor IF-3
M_T_PCIT_0_227	1931	290808	292739	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_228	809	293181	293990	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	shikimate 5-dehydrogenase
M_T_PCIT_0_229	575	294205	294780	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Fe/S biogenesis protein NfuA
M_T_PCIT_0_230	338	295923	296261	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	UPF0438 protein yifE
M_T_PCIT_0_231	857	296923	297780	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	RNA polymerase factor sigma-32
M_T_PCIT_0_232	1118	298374	299492	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Cell division protein ftsY
M_T_PCIT_0_233	1091	299780	300871	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	GTP-binding protein YchF
M_T_PCIT_0_234	596	300935	301531	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	peptidyl-tRNA hydrolase
M_T_PCIT_0_235	947	301769	302716	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	ribose-phosphate pyrophosphokinase
M_T_PCIT_0_236	1082	302923	304005	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	peptide chain release factor 1
M_T_PCIT_0_237	824	304033	304857	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase
M_T_PCIT_0_238	785	305060	305845	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	inositol monophosphatase
M_T_PCIT_0_239	1199	306537	307736	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	cysteine desulfurase
M_T_PCIT_0_240	200	308470	308670	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_241	380	311591	311971	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	4'-phosphopantetheinyl transferase
M_T_PCIT_0_242	731	311971	312702	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	pyridoxine 5'-phosphate synthase
M_T_PCIT_0_243	2573	312716	315289	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_244	980	315442	316422	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	23S rRNA pseudouridine synthase D
M_T_PCIT_0_245	1358	316480	317838	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	peptidase PmbA
M_T_PCIT_0_246	905	318329	319234	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	recombinase
M_T_PCIT_0_247	431	319435	319866	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	DNA polymerase III subunit psi
M_T_PCIT_0_248	995	320118	321113	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	global regulator
M_T_PCIT_0_249	842	321273	322115	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	prolipoprotein diacylglyceryl transferase
M_T_PCIT_0_250	536	322376	322912	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	RNA pyrophosphohydrolase
M_T_PCIT_0_251	296	323166	323462	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Fis family transcriptional regulator
M_T_PCIT_0_252	1910	324268	326178	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_253	1112	326185	327297	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	cell wall shape-determining protein
M_T_PCIT_0_254	932	327783	328715	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	putative adenine-specific methylase yfcB
M_T_PCIT_0_255	431	329155	329586	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	putative stringent starvation protein B
M_T_PCIT_0_256	806	330396	331202	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	serine acetyltransferase
M_T_PCIT_0_257	683	331251	331934	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_258	245	331921	332166	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_259	707	332163	332870	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	transcriptional regulator
M_T_PCIT_0_260	794	333407	334201	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	triosephosphate isomerase
M_T_PCIT_0_261	962	334318	335280	M_T_PCIT_0	538294	-		Enterobacteriaceae (543)	6-phosphofructokinase
M_T_PCIT_0_262	1994	335360	337354	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_263	569	338135	338704	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	outer membrane lipoprotein
M_T_PCIT_0_264	464	339404	339868	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	metal-binding heat shock protein
M_T_PCIT_0_265	1724	340973	342697	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_266	1397	343483	344880	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_267	623	344988	345611	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	superoxide dismutase
M_T_PCIT_0_268	1541	345973	347514	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_269	1730	347579	349309	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_270	2594	349830	352424	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_271	1010	352712	353722	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	membrane protein
M_T_PCIT_0_272	530	354188	354718	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	adenosine deaminase
M_T_PCIT_0_273	455	355241	355696	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L21
M_T_PCIT_0_274	257	355717	355974	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L27
M_T_PCIT_0_275	1025	356310	357335	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	GTPase CgtA
M_T_PCIT_0_276	209	357555	357764	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_277	482	358164	358646	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Transcription elongation factor greA
M_T_PCIT_0_278	629	358982	359611	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	23S rRNA methyltransferase
M_T_PCIT_0_279	1886	359669	361555	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_280	332	362036	362368	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	preprotein translocase subunit SecG
M_T_PCIT_0_281	1490	363340	364830	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_282	2705	364855	367560	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_283	416	367650	368066	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	ribosome-binding factor A
M_T_PCIT_0_284	944	368073	369017	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	tRNA pseudouridine synthase B
M_T_PCIT_0_285	269	369158	369427	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S15
M_T_PCIT_0_286	2111	369628	371739	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_287	1787	372205	373992	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_288	257	374178	374435	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	PTS sugar transporter
M_T_PCIT_0_289	1724	374484	376208	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_290	428	376623	377051	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L13
M_T_PCIT_0_291	392	377067	377459	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S9
M_T_PCIT_0_292	1460	377979	379439	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_293	374	379501	379875	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	50S ribosomal protein L19
M_T_PCIT_0_294	764	379875	380639	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	tRNA (guanine-N1)-methyltransferase
M_T_PCIT_0_295	380	380688	381068	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	16S rRNA-processing protein M
M_T_PCIT_0_296	254	381257	381511	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	30S ribosomal protein S16
M_T_PCIT_0_297	1334	381605	382939	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	signal recognition particle protein Srp54
M_T_PCIT_0_298	1115	383255	384370	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Membrane-bound lytic murein transglycosylase C
M_T_PCIT_0_299	728	384704	385432	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	tRNA (guanine-N(7)-)-methyltransferase
M_T_PCIT_0_300	623	385703	386326	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Ribosomal RNA small subunit methyltransferase D
M_T_PCIT_0_301	1211	386498	387709	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	3-oxoacyl-ACP synthase
M_T_PCIT_0_302	845	388062	388907	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	methionine aminopeptidase
M_T_PCIT_0_303	713	389268	389981	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S2
M_T_PCIT_0_304	806	390103	390909	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Elongation factor Ts
M_T_PCIT_0_305	554	391190	391744	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	ribosome recycling factor
M_T_PCIT_0_306	752	392461	393213	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	UDP pyrophosphate synthase
M_T_PCIT_0_307	2420	393514	395934	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_308	500	396088	396588	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	molecular chaperone
M_T_PCIT_0_309	1055	396588	397643	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase
M_T_PCIT_0_310	788	398201	398989	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	UDP-N-acetylglucosamine acyltransferase
M_T_PCIT_0_311	1148	398992	400140	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	lipid-A-disaccharide synthase
M_T_PCIT_0_312	3482	400545	404027	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_313	953	404058	405011	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
M_T_PCIT_0_314	1313	405281	406594	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	glutaminyl-tRNA synthetase
M_T_PCIT_0_315	923	407621	408544	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	heat shock protein HtpX
M_T_PCIT_0_316	116	408616	408732	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_317	584	409050	409634	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Clp protease proteolytic subunit ClpP
M_T_PCIT_0_318	1259	409729	410988	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	ATP-dependent protease
M_T_PCIT_0_319	2354	411149	413503	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_320	428	413580	414008	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	large conductance mechanosensitive channel protein MscL
M_T_PCIT_0_321	956	414326	415282	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	methionyl-tRNA formyltransferase
M_T_PCIT_0_322	494	415289	415783	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	peptide deformylase
M_T_PCIT_0_323	1577	416106	417683	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_324	779	418396	419175	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	pantoate--beta-alanine ligase
M_T_PCIT_0_325	806	419187	419993	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	3-methyl-2-oxobutanoate hydroxymethyltransferase
M_T_PCIT_0_326	1307	420666	421973	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	poly(A) polymerase I
M_T_PCIT_0_327	449	422448	422897	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	transcriptional regulator
M_T_PCIT_0_328	1739	423587	425326	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_329	869	425689	426558	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Peptide chain release factor 2
M_T_PCIT_0_330	1580	426509	428089	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_331	521	428361	428882	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	shikimate kinase
M_T_PCIT_0_332	326	430235	430561	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	sulfur transfer protein TusE
M_T_PCIT_0_333	1112	430730	431842	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	tRNA-specific 2-thiouridylase mnmA
M_T_PCIT_0_334	2177	431994	434171	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_335	1202	434262	435464	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Acetate kinase
M_T_PCIT_0_336	722	436181	436903	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	putative membrane-bound metal-dependent hydrolase
M_T_PCIT_0_337	1820	437363	439183	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_338	161	439607	439768	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_339	317	439871	440188	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_340	425	440258	440683	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_341	794	440673	441467	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	tRNA pseudouridine synthase A
M_T_PCIT_0_342	1031	441715	442746	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	bifunctional biotin-- synthetase/biotin operon repressor
M_T_PCIT_0_343	554	443691	444245	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	hypothetical protein
M_T_PCIT_0_344	1133	444301	445434	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	HemN family oxidoreductase
M_T_PCIT_0_345	1070	445753	446823	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	S-adenosylmethionine tRNA ribosyltransferase
M_T_PCIT_0_346	1133	446890	448023	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	queuine tRNA-ribosyltransferase
M_T_PCIT_0_347	407	448298	448705	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	iron-sulfur cluster assembly scaffold protein
M_T_PCIT_0_348	1502	448686	450188	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_349	740	450245	450985	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	cysteine desulfurase
M_T_PCIT_0_350	1313	450966	452279	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	cysteine desulfurase activator complex subunit SufD
M_T_PCIT_0_351	1223	452276	453499	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	bifunctional cysteine desulfurase/selenocysteine lyase
M_T_PCIT_0_352	413	453509	453922	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	cysteine desufuration protein SufE
M_T_PCIT_0_353	635	454037	454672	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	hypothetical protein
M_T_PCIT_0_354	1007	455010	456017	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	tetraacyldisaccharide 4'-kinase
M_T_PCIT_0_355	1751	456014	457765	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_356	515	457871	458386	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	3-hydroxydecanoyl-ACP dehydratase
M_T_PCIT_0_357	1763	458443	460206	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_358	515	460555	461070	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	flavodoxin
M_T_PCIT_0_359	155	461400	461555	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_360	3305	461955	465260	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_361	200	465730	465930	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_362	179	465980	466159	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_363	311	466662	466973	M_T_PCIT_0	538294	+		Gammaproteobacteria (1236)	30S ribosomal protein S10, partial
M_T_PCIT_0_364	629	467011	467640	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L3
M_T_PCIT_0_365	605	467659	468264	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L4
M_T_PCIT_0_366	338	468261	468599	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L23
M_T_PCIT_0_367	821	468586	469407	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L2
M_T_PCIT_0_368	287	469426	469713	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S19
M_T_PCIT_0_369	332	469723	470055	M_T_PCIT_0	538294	+		Enterobacteriaceae (543)	50S ribosomal protein L22
M_T_PCIT_0_370	698	470073	470771	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S3
M_T_PCIT_0_371	410	470784	471194	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L16
M_T_PCIT_0_372	191	471194	471385	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L29
M_T_PCIT_0_373	257	471385	471642	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S17
M_T_PCIT_0_374	371	471827	472198	M_T_PCIT_0	538294	+		Enterobacteriaceae (543)	50S ribosomal protein L14
M_T_PCIT_0_375	317	472209	472526	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L24
M_T_PCIT_0_376	536	472543	473079	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L5
M_T_PCIT_0_377	305	473093	473398	M_T_PCIT_0	538294	+		Gammaproteobacteria (1236)	30S ribosomal protein S14
M_T_PCIT_0_378	392	473437	473829	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S8
M_T_PCIT_0_379	533	473843	474376	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L6
M_T_PCIT_0_380	350	474386	474736	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L18
M_T_PCIT_0_381	500	474765	475265	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S5
M_T_PCIT_0_382	179	475272	475451	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_383	437	475458	475895	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L15
M_T_PCIT_0_384	1328	475903	477231	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	preprotein translocase subunit SecY
M_T_PCIT_0_385	365	477456	477821	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S13
M_T_PCIT_0_386	389	477833	478222	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S11
M_T_PCIT_0_387	620	478254	478874	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	30S ribosomal protein S4
M_T_PCIT_0_388	989	478906	479895	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	DNA-directed RNA polymerase subunit alpha
M_T_PCIT_0_389	383	479934	480317	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	50S ribosomal protein L17
M_T_PCIT_0_390	1640	480395	482035	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_391	293	482082	482375	M_T_PCIT_0	538294	-		cellular organisms (131567)	co-chaperonin GroES
M_T_PCIT_0_392	602	482775	483377	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	heat shock protein GrpE
M_T_PCIT_0_393	479	483739	484218	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	single-stranded DNA-binding protein
M_T_PCIT_0_394	1661	484848	486509	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_395	545	486689	487234	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	oligoribonuclease
M_T_PCIT_0_396	347	487660	488007	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	iron-sulfur cluster insertion protein ErpA
M_T_PCIT_0_397	806	488566	489372	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	exonuclease III
M_T_PCIT_0_398	1268	490254	491522	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Tyrosyl-tRNA synthetase
M_T_PCIT_0_399	305	492411	492716	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_400	1085	492902	493987	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	Phosphomethylpyrimidine synthase
M_T_PCIT_0_401	656	494021	494677	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	thiamine-phosphate pyrophosphorylase
M_T_PCIT_0_402	4208	494758	498966	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_403	4028	499064	503092	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_404	368	503369	503737	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	50S ribosomal protein L7/L12
M_T_PCIT_0_405	497	503814	504311	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	50S ribosomal protein L10
M_T_PCIT_0_406	704	504458	505162	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	50S ribosomal protein L1
M_T_PCIT_0_407	428	505165	505593	M_T_PCIT_0	538294	-		Enterobacteriaceae (543)	50S ribosomal protein L11
M_T_PCIT_0_408	545	505752	506297	M_T_PCIT_0	538294	-		Enterobacteriaceae (543)	transcription antitermination protein NusG
M_T_PCIT_0_409	395	506290	506685	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	preprotein translocase subunit SecE
M_T_PCIT_0_410	1184	506789	507973	M_T_PCIT_0	538294	-		Enterobacteriaceae (543)	elongation factor Tu
M_T_PCIT_0_411	1067	508637	509704	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	Lipopolysaccharide export system permease protein lptG
M_T_PCIT_0_412	1160	509698	510858	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	lipopolysaccharide ABC transporter permease LptF
M_T_PCIT_0_413	443	511138	511581	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	DNA polymerase III subunit chi
M_T_PCIT_0_414	2753	511707	514460	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_415	1019	514806	515825	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	ornithine carbamoyltransferase
M_T_PCIT_0_416	1130	516208	517338	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	ribonucleotide-diphosphate reductase subunit beta
M_T_PCIT_0_417	2282	517388	519670	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_418	2654	520313	522967	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_419	953	523149	524102	M_T_PCIT_0	538294	+		Candidatus Moranella endobia (1048758)	thioredoxin reductase
M_T_PCIT_0_420	1673	524239	525912	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_421	1721	525915	527636	M_T_PCIT_0	538294	+		root (1)	hypothetical protein
M_T_PCIT_0_422	218	527840	528058	M_T_PCIT_0	538294	+		Gammaproteobacteria (1236)	translation initiation factor IF-1
M_T_PCIT_0_423	2108	528292	530400	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_424	470	530499	530969	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	30S ribosomal protein S7
M_T_PCIT_0_425	374	531059	531433	M_T_PCIT_0	538294	-		Gammaproteobacteria (1236)	30S ribosomal protein S12
M_T_PCIT_0_426	287	531692	531979	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	sulfur transfer complex subunit TusB
M_T_PCIT_0_427	359	532004	532363	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	sulfur relay protein TusC
M_T_PCIT_0_428	371	532375	532746	M_T_PCIT_0	538294	-		Candidatus Moranella endobia (1048758)	sulfur transfer complex subunit TusD
M_T_PCIT_0_429	1484	533184	534668	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_0_430	2369	534845	537214	M_T_PCIT_0	538294	-		root (1)	hypothetical protein
M_T_PCIT_1_0	1406	1	1407	M_T_PCIT_1	138927	+		root (1)	hypothetical protein
M_T_PCIT_1_1	635	1382	2017	M_T_PCIT_1	138927	+		Candidatus Tremblaya princeps (189385)	isopropylmalate isomerase small subunit
M_T_PCIT_1_2	1067	2014	3081	M_T_PCIT_1	138927	+		Candidatus Tremblaya princeps (189385)	3-isopropylmalate dehydrogenase
