id	seqname	start	end	strand	ec	taxonomy	product
ARWQ01000001_293	ARWQ01000001	267285	267479	-			hypothetical protein
ARWQ01000001_294	ARWQ01000001	267530	267853	-		"Nitrosopumilus" Konneke et al. 2005	hypothetical protein
ARWQ01000001_295	ARWQ01000001	267879	269642	-			hypothetical protein
ARWQ01000001_296	ARWQ01000001	269675	270166	+		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
ARWQ01000001_297	ARWQ01000001	270168	270866	+	2.1.1.132	"Nitrosopumilaceae" Konneke et al. 2005	precorrin-6Y C5,15-methyltransferase
ARWQ01000001_298	ARWQ01000001	270867	272222	-		"Nitrosopumilaceae" Konneke et al. 2005	archaeal cell division control protein 6
ARWQ01000001_299	ARWQ01000001	272332	272583	+			hypothetical protein
ARWQ01000001_300	ARWQ01000001	272638	273021	+		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
ARWQ01000001_301	ARWQ01000001	273018	273596	-		Candidatus Nitrosoarchaeum	hypothetical protein
ARWQ01000001_302	ARWQ01000001	273709	274068	-		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
ARWQ01000001_303	ARWQ01000001	274109	274894	+	2.5.1.41	"Nitrosopumilaceae" Konneke et al. 2005	phosphate synthase OS Nitrosopumilus maritimus (strain SCM1) GN PE 3 SV 1
ARWQ01000001_304	ARWQ01000001	274919	275185	+			hypothetical protein
ARWQ01000001_305	ARWQ01000001	275641	276117	+			hypothetical protein
ARWQ01000001_306	ARWQ01000001	276206	276430	-			hypothetical protein
ARWQ01000001_307	ARWQ01000001	276420	277094	-		Candidatus Nitrosoarchaeum	hypothetical protein
ARWQ01000001_308	ARWQ01000001	277226	277720	+		Candidatus Nitrosopumilus koreensis AR1	heat shock protein HSP20
ARWQ01000001_309	ARWQ01000001	277916	278563	-		"Nitrosopumilaceae" Konneke et al. 2005	cyclase family protein
ARWQ01000001_310	ARWQ01000001	278612	278866	+		"Nitrosopumilaceae" Konneke et al. 2005	AsnC family transcriptional regulator
ARWQ01000001_311	ARWQ01000001	278899	279462	+			hypothetical protein
ARWQ01000001_312	ARWQ01000001	279573	279872	+		Cenarchaeaceae	4Fe-4S ferredoxin iron-sulfur binding domain-containing protein
ARWQ01000001_313	ARWQ01000001	279943	280437	+		"Nitrosopumilaceae" Konneke et al. 2005	dual specificity protein phosphatase
ARWQ01000001_314	ARWQ01000001	280439	280591	-			hypothetical protein
ARWQ01000001_315	ARWQ01000001	280596	280748	-			hypothetical protein
ARWQ01000001_316	ARWQ01000001	281000	282064	+		"Nitrosopumilaceae" Konneke et al. 2005	Tyrosyl-tRNA synthetase
ARWQ01000001_317	ARWQ01000001	282074	282862	-		Nitrosopumilus sp. MY1	Precorrin-3B methylase
ARWQ01000001_318	ARWQ01000001	282904	284298	-	2.7.2.4	"Nitrosopumilaceae" Konneke et al. 2005	aspartate kinase
ARWQ01000001_319	ARWQ01000001	284343	285089	-		"Nitrosopumilaceae" Konneke et al. 2005	proliferating cell nuclear antigen
ARWQ01000001_320	ARWQ01000001	285124	285447	-	2.7.7.6	"Nitrosopumilus" Konneke et al. 2005	DNA-directed RNA polymerase subunit M
ARWQ01000001_321	ARWQ01000001	285453	285722	-			hypothetical protein
ARWQ01000001_322	ARWQ01000001	285817	286203	+		Nitrosopumilus maritimus SCM1	hypothetical protein
ARWP01000029_0	ARWP01000029	2	1300	-			hypothetical protein
ARWQ01000003_0	ARWQ01000003	1	654	+	1.2.1.70	Candidatus Nitrosopumilus sp. AR2	reductase OS Cenarchaeum symbiosum (strain A) GN hemA PE 3 SV 1
ARWQ01000003_1	ARWQ01000003	809	1345	-		"Nitrosopumilus maritimus" Konneke et al. 2006	Putative PBS lyase HEAT-like repeat protein
ARWQ01000003_2	ARWQ01000003	1447	1839	+		Aigarchaeota	archaea-specific DNA-binding protein
ARWQ01000003_3	ARWQ01000003	1859	2716	-		"Nitrosopumilaceae" Konneke et al. 2005	PEP phosphonomutase related enzymes
ARWQ01000003_4	ARWQ01000003	2748	3254	-		Aigarchaeota	PadR-like family transcriptional regulator
ARWQ01000003_5	ARWQ01000003	3352	5064	+		"Nitrosopumilaceae" Konneke et al. 2005	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit
ARWQ01000003_6	ARWQ01000003	5065	5493	+	1.3.99.1	marine archaeal group 1 strain BD31	succinate dehydrogenase cytochrome b-556 subunit
ARWQ01000003_7	ARWQ01000003	5486	5842	+		Candidatus Nitrosopumilus salaria	hypothetical protein
ARWQ01000003_8	ARWQ01000003	5844	6647	+		"Nitrosopumilaceae" Konneke et al. 2005	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit
ARWQ01000003_9	ARWQ01000003	6648	6971	-		Candidatus Nitrosoarchaeum koreensis	Metal-sulfur cluster biosynthetic enzyme
ARWQ01000003_10	ARWQ01000003	7023	8483	+	4.3.2.1	"Nitrosopumilaceae" Konneke et al. 2005	lyase OS Nitrosopumilus maritimus (strain SCM1) GN argH PE 3 SV 1
ARWQ01000003_11	ARWQ01000003	8489	9157	-		Candidatus Nitrosopumilus koreensis AR1	Nitroreductase
ARWQ01000003_12	ARWQ01000003	9335	9982	-		"Nitrosopumilaceae" Konneke et al. 2005	Cyclase/dehydrase
ARWQ01000003_13	ARWQ01000003	10037	10555	+		Candidatus Nitrosoarchaeum	hypothetical protein
ARWQ01000003_14	ARWQ01000003	10545	10937	-		"Nitrosopumilaceae" Konneke et al. 2005	cytochrome c oxidase subunit XV assembly protein
ARWQ01000003_15	ARWQ01000003	10990	11496	-		"Nitrosopumilaceae" Konneke et al. 2005	blue (type1) copper domain-containing protein
ARWQ01000003_16	ARWQ01000003	11562	13103	-	1.9.3.1	Candidatus Nitrosoarchaeum	cytochrome c oxidase subunit I
ARWQ01000003_17	ARWQ01000003	13107	13529	-	1.9.3.1	Aigarchaeota	cytochrome c oxidase subunit II
ARWQ01000003_18	ARWQ01000003	13533	13793	-		"Nitrosopumilaceae" Konneke et al. 2005	Heme/copper-type cytochrome/quinol oxidase, subunit
ARWQ01000003_19	ARWQ01000003	13849	14466	-	5.4.2.1	Candidatus Nitrosoarchaeum koreensis	phosphoglycerate mutase
ARWQ01000003_20	ARWQ01000003	14525	15196	+		"Nitrosopumilaceae" Konneke et al. 2005	NADP oxidoreductase coenzyme F420-dependent
ARWQ01000003_21	ARWQ01000003	15221	15457	+			hypothetical protein
ARWQ01000003_22	ARWQ01000003	15480	16664	-		"Nitrosopumilaceae" Konneke et al. 2005	Aspartate/tyrosine/aromatic aminotransferase
ARWQ01000003_23	ARWQ01000003	16851	17090	+		Nitrosoarchaeum limnia	hypothetical protein
ARWQ01000003_24	ARWQ01000003	17087	17728	-		"Nitrosopumilaceae" Konneke et al. 2005	Metal-sulfur cluster biosynthetic enzyme
ARWQ01000003_25	ARWQ01000003	17766	18800	-		"Nitrosopumilaceae" Konneke et al. 2005	Predicted translation initiation factor 2B subunit, eIF-2B alpha/beta/delta family
ARWQ01000003_26	ARWQ01000003	18909	19919	+	5.3.1.8	Aigarchaeota	glucose-6-phosphate isomerase
ARWQ01000003_27	ARWQ01000003	20023	20616	+			hypothetical protein
ARWQ01000003_28	ARWQ01000003	20613	21308	+			hypothetical protein
ARWQ01000003_29	ARWQ01000003	21298	22413	-		"Nitrosopumilaceae" Konneke et al. 2005	sulfatase
ARWQ01000003_30	ARWQ01000003	22415	23209	-		biota	nucleotidyl transferase
ARWQ01000003_31	ARWQ01000003	23221	23850	-		Nitrosopumilus maritimus SCM1	putative glutamine amidotransferase
ARWQ01000003_32	ARWQ01000003	23868	26309	-		Nitrosopumilus maritimus SCM1	hypothetical protein
ARWQ01000003_33	ARWQ01000003	26354	27676	-			hypothetical protein
ARWQ01000003_34	ARWQ01000003	27684	28544	-	2.5.1.56	Selenomonadales Marchandin et al. 2010	N-acetylneuraminate synthase
ARWQ01000003_35	ARWQ01000003	28522	29193	-		Nitrosoarchaeum limnia	short-chain dehydrogenase/reductase SDR
ARWQ01000003_36	ARWQ01000003	29190	30065	-		Nitrosoarchaeum limnia	Putative L-xylulose-5-phosphate 3-epimerase
ARWQ01000003_37	ARWQ01000003	30120	30611	+		biota	Low specificity phosphatase (HAD superfamily)
ARWQ01000003_38	ARWQ01000003	30617	31222	+		bacteria	Phosphoheptose isomerase
ARWQ01000003_39	ARWQ01000003	31265	32023	-	1.1.1.100	purple non-sulfur bacteria	3-oxoacyl- reductase
ARWQ01000003_40	ARWQ01000003	32088	32783	-			hypothetical protein
ARWQ01000003_41	ARWQ01000003	32801	33571	-			hypothetical protein
ARWQ01000003_42	ARWQ01000003	33574	34026	-			hypothetical protein
ARWQ01000003_43	ARWQ01000003	34299	35006	+		Candidatus Nitrosoarchaeum	acylneuraminate cytidylyltransferase
ARWQ01000003_44	ARWQ01000003	35007	35969	-			hypothetical protein
ARWQ01000003_45	ARWQ01000003	35994	36233	-			hypothetical protein
ARWQ01000003_46	ARWQ01000003	36238	37857	+		"Nitrosopumilaceae" Konneke et al. 2005	radical SAM domain protein
ARWQ01000003_47	ARWQ01000003	37854	39356	-			hypothetical protein
ARWQ01000003_48	ARWQ01000003	39486	40619	+			hypothetical protein
ARWQ01000003_49	ARWQ01000003	40692	41702	+		"Nitrosopumilaceae" Konneke et al. 2005	Predicted nucleoside-diphosphate sugar epimerases
ARWQ01000003_50	ARWQ01000003	41754	43097	+		Candidatus Nitrosoarchaeum koreensis	Zn-dependent hydrolase beta-lactamase fold-like protein
ARWQ01000003_51	ARWQ01000003	43110	43457	-		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
ARWQ01000003_52	ARWQ01000003	43589	44308	+		Nitrosopumilus sp. MY1	Sialic acid synthase
ARWQ01000003_53	ARWQ01000003	44301	45383	-	2.6.1.50	"Nitrosopumilaceae" Konneke et al. 2005	glutamine--scyllo-inositol transaminase (EC:2.6.1.50)
ARWQ01000003_54	ARWQ01000003	45484	47343	-			hypothetical protein
ARWQ01000003_55	ARWQ01000003	47331	47783	-	5.1.3.13	"Nitrosopumilus" Konneke et al. 2005	dTDP-4-dehydrorhamnose 3,5-epimerase
ARWQ01000003_56	ARWQ01000003	47900	48931	+		"Nitrosopumilaceae" Konneke et al. 2005	dTDP-glucose pyrophosphorylase
ARWQ01000003_57	ARWQ01000003	48990	50033	+		Nitrosopumilus maritimus SCM1	glycosyl transferase family protein
ARWQ01000003_58	ARWQ01000003	50040	51671	-			hypothetical protein
ARWQ01000003_59	ARWQ01000003	51761	52135	-		Candidatus Nitrosoarchaeum limnia str. BG20	Holo-ACP synthase
ARWQ01000003_60	ARWQ01000003	52225	52470	+			hypothetical protein
ARWQ01000003_61	ARWQ01000003	52467	53921	+		Nitrosopumilaceae archaeon SFB1	Acyl-CoA synthetases (AMP-forming)/AMP-acid ligases II
ARWQ01000003_62	ARWQ01000003	53925	55013	+			hypothetical protein
ARWQ01000003_63	ARWQ01000003	54997	56274	+			hypothetical protein
ARWQ01000003_64	ARWQ01000003	56354	56884	+		"Archaea" Woese et al. 1990	Acetyltransferase (isoleucine patch superfamily)
ARWQ01000003_65	ARWQ01000003	56894	57736	+		Nitrosopumilaceae archaeon SFB1	Putative xylanase/chitin deacetylase
ARWQ01000003_66	ARWQ01000003	57729	58670	-		"Nitrosopumilaceae" Konneke et al. 2005	NAD-dependent epimerase/dehydratase
ARWQ01000003_67	ARWQ01000003	58746	59519	+		Candidatus Nitrosoarchaeum limnia str. BG20	methyltransferase, FkbM family
ARWQ01000003_68	ARWQ01000003	59611	60786	+		Nitrosopumilus maritimus SCM1	glycosyl transferase group 1
ARWQ01000003_69	ARWQ01000003	60770	61960	+			hypothetical protein
ARWQ01000003_70	ARWQ01000003	62025	62909	+		Aigarchaeota	cell wall biogenesis glycosyltransferase
ARWQ01000003_71	ARWQ01000003	62922	63905	-		Pyrococcus	dTDP-D-glucose 4,6-dehydratase
ARWQ01000003_72	ARWQ01000003	64108	65619	+			hypothetical protein
ARWQ01000003_73	ARWQ01000003	65637	67289	-			hypothetical protein
ARWQ01000003_74	ARWQ01000003	67295	67438	-			hypothetical protein
ARWQ01000003_75	ARWQ01000003	67489	68160	-			hypothetical protein
ARWQ01000003_76	ARWQ01000003	68224	69153	-		Cyanophyta	Nucleoside-diphosphate-sugar epimerases
ARWQ01000003_77	ARWQ01000003	69274	70236	+		Candidatus Nitrosopumilus koreensis AR1	NAD-dependent epimerase/dehydratase
ARWQ01000003_78	ARWQ01000003	70312	71256	-			hypothetical protein
ARWQ01000003_79	ARWQ01000003	71475	71927	+			hypothetical protein
ARWQ01000003_80	ARWQ01000003	71930	72649	+			hypothetical protein
ARWQ01000003_81	ARWQ01000003	72660	73658	+			hypothetical protein
ARWQ01000003_82	ARWQ01000003	73679	74137	-		Candidatus Nitrosoarchaeum	hypothetical protein
ARWQ01000003_83	ARWQ01000003	74241	75371	-			hypothetical protein
ARWQ01000003_84	ARWQ01000003	75457	76554	+		Nitrosopumilus sp. MY1	Putative glycosyl transferases group 1
ARWQ01000003_85	ARWQ01000003	76631	77953	-		"Nitrosopumilaceae" Konneke et al. 2005	DNA-binding protein containing Zn-ribbon domain-containing
ARWQ01000003_86	ARWQ01000003	78033	79028	+		Candidatus Nitrosoarchaeum	diphthamide synthase subunit DPH2
ARWQ01000003_87	ARWQ01000003	79061	79609	+		"Nitrosopumilaceae" Konneke et al. 2005	exosome complex component CSL4
ARWQ01000003_88	ARWQ01000003	79613	80428	+	5.4.99.5	"Nitrosopumilaceae" Konneke et al. 2005	prephenate dehydratase
ARWQ01000003_89	ARWQ01000003	80425	80895	-		Candidatus Nitrosoarchaeum	hypothetical protein
ARWQ01000003_90	ARWQ01000003	80930	82366	-	1.1.1.205	"Nitrosopumilaceae" Konneke et al. 2005	dehydrogenase OS Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 JAL-1 JCM 10045 NBRC 100440) GN guaB PE 3 SV 1
ARWQ01000003_91	ARWQ01000003	82416	83276	-	2.5.1.15	"Nitrosopumilaceae" Konneke et al. 2005	dihydropteroate synthase
ARWQ01000003_92	ARWQ01000003	83299	84039	+		"Nitrosopumilus" Konneke et al. 2005	Uncharacterized Rossmann fold enzyme
ARWQ01000003_93	ARWQ01000003	84048	84353	+			hypothetical protein
ARWQ01000004_0	ARWQ01000004	2	439	+		"Nitrosopumilaceae" Konneke et al. 2005	alcohol dehydrogenase
ARWQ01000004_1	ARWQ01000004	414	614	+			hypothetical protein
ARWQ01000004_2	ARWQ01000004	651	878	+			hypothetical protein
ARWQ01000004_3	ARWQ01000004	875	1231	-		Cenarchaeum symbiosum A	hypothetical protein
ARWQ01000004_4	ARWQ01000004	1383	1712	+			hypothetical protein
ARWQ01000004_5	ARWQ01000004	1947	2642	-		Candidatus Nitrosopumilus koreensis AR1	hypothetical protein
ARWQ01000004_6	ARWQ01000004	2723	3919	-	5.4.99.12	"Nitrosopumilaceae" Konneke et al. 2005	tRNA pseudouridine synthase D
ARWQ01000004_7	ARWQ01000004	3916	5595	-		"Nitrosopumilaceae" Konneke et al. 2005	Streptogramin lyase
ARWQ01000004_8	ARWQ01000004	5649	6005	-		"Nitrosopumilaceae" Konneke et al. 2005	Uncharacterized conserved protein
ARWQ01000004_9	ARWQ01000004	6081	7250	+		"Nitrosopumilaceae" Konneke et al. 2005	dehydrogenase (flavoprotein)-like protein
ARWQ01000004_10	ARWQ01000004	7464	7745	+		Candidatus Nitrosoarchaeum	elongation factor EF-1 beta subunit
ARWQ01000004_11	ARWQ01000004	7781	9925	+		"Nitrosopumilus" Konneke et al. 2005	ATPases AAA+ class
ARWQ01000004_12	ARWQ01000004	9928	10230	+			hypothetical protein
ARWQ01000004_13	ARWQ01000004	10231	11055	-		"Nitrosopumilaceae" Konneke et al. 2005	protoheme IX farnesyltransferase
ARWQ01000004_14	ARWQ01000004	11199	12005	+		Candidatus Nitrosopumilus sp. AR2	blue (type1) copper domain-containing protein
ARWQ01000004_15	ARWQ01000004	12009	12446	+		"Nitrosopumilaceae" Konneke et al. 2005	Mov34/MPN/PAD-1 family protein
ARWQ01000004_16	ARWQ01000004	12496	12759	+		"Nitrosopumilaceae" Konneke et al. 2005	DUF2024 domain containing protein
ARWQ01000004_17	ARWQ01000004	12788	14848	-	3.6.1.1	Aigarchaeota	inorganic pyrophosphatase
ARWQ01000004_18	ARWQ01000004	14911	15288	-		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
ARWQ01000004_19	ARWQ01000004	15406	15903	-		"Nitrosopumilus" Konneke et al. 2005	DUF359 domain containing protein
ARWQ01000004_20	ARWQ01000004	15910	17196	-		"Nitrosopumilaceae" Konneke et al. 2005	ATP-binding protein involved chromosome partitioning
ARWQ01000004_21	ARWQ01000004	17331	17981	+	2.7.7.6	marine archaeal group 1 strain BD31	DNA-directed RNA polymerase subunit E'
ARWQ01000004_22	ARWQ01000004	17983	18189	+			hypothetical protein
ARWQ01000004_23	ARWQ01000004	18191	19021	+		Candidatus Nitrosopumilus salaria	Nicotinate-nucleotide pyrophosphorylase
ARWQ01000004_24	ARWQ01000004	19025	19960	-		"Nitrosopumilaceae" Konneke et al. 2005	Quinolinate synthase
ARWQ01000004_25	ARWQ01000004	20052	20870	-	1.4.1.21	"Nitrosopumilaceae" Konneke et al. 2005	aspartate dehydrogenase
ARWQ01000004_26	ARWQ01000004	21043	21879	+		Candidatus Nitrosoarchaeum	NurA domain containing protein
ARWQ01000004_27	ARWQ01000004	21876	23402	+		Candidatus Nitrosoarchaeum koreensis	DUF87 domain containing protein
ARWQ01000004_28	ARWQ01000004	23404	24537	+		"Nitrosopumilaceae" Konneke et al. 2005	metallophosphoesterase
ARWQ01000004_29	ARWQ01000004	24534	26615	+		"Nitrosopumilaceae" Konneke et al. 2005	exonuclease SbcC
ARWQ01000004_30	ARWQ01000004	26612	27100	-		"Nitrosopumilaceae" Konneke et al. 2005	heat repeat-containing PBS lyase
ARWQ01000004_31	ARWQ01000004	27143	27568	-		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
ARWQ01000004_32	ARWQ01000004	27831	28394	+		Nitrosoarchaeum limnia	ammonia monooxygenase/methane monooxygenase, subunit C
ARWQ01000004_33	ARWQ01000004	28509	29150	+		"Nitrosopumilaceae" Konneke et al. 2005	alkyl hydroperoxide reductase/thiol specific antioxidant/Mal allergen
ARWQ01000004_34	ARWQ01000004	29129	30517	-			hypothetical protein
ARWQ01000004_35	ARWQ01000004	30566	31012	-		Candidatus Nitrosopumilus sp. AR2	large subunit ribosomal protein L15e
ARWQ01000004_36	ARWQ01000004	31063	31716	+			hypothetical protein
ARWQ01000004_37	ARWQ01000004	31713	32396	-			hypothetical protein
ARWQ01000004_38	ARWQ01000004	32398	33330	-		"Nitrosopumilaceae" Konneke et al. 2005	Phosphoglycerate dehydrogenase related dehydrogenases
ARWQ01000004_39	ARWQ01000004	33415	34845	-		marine archaeal group 1 strain BD31	NirK, nitrite reductase multicopper oxidase
ARWQ01000004_40	ARWQ01000004	35004	36365	+		Candidatus Nitrosopumilus salaria	Aspartate ammonia-lyase
ARWQ01000004_41	ARWQ01000004	36368	37636	+		"Nitrosopumilaceae" Konneke et al. 2005	MiaB-like tRNA modifying enzyme
ARWQ01000004_42	ARWQ01000004	37709	38650	+		Candidatus Nitrosoarchaeum limnia str. BG20	cell division protein FtsZ
ARWQ01000004_43	ARWQ01000004	38656	39186	-		Aigarchaeota	ribosomal protein L31e
ARWQ01000004_44	ARWQ01000004	39187	39345	-			hypothetical protein
ARWQ01000004_45	ARWQ01000004	39400	39963	-		"Nitrosopumilaceae" Konneke et al. 2005	NUDIX hydrolase
ARWQ01000004_46	ARWQ01000004	40016	40771	+		Nitrosopumilaceae archaeon SFB1	5 10-methylenetetrahydrofolate reductase-like protein
ARWQ01000004_47	ARWQ01000004	40768	41709	+			hypothetical protein
ARWQ01000004_48	ARWQ01000004	41702	42712	+	2.1.1.14	Rubrobacter xylanophilus DSM 9941	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
ARWQ01000004_49	ARWQ01000004	42724	43482	-		"Nitrosopumilaceae" Konneke et al. 2005	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component
ARWQ01000004_50	ARWQ01000004	43492	44247	-		"Nitrosopumilaceae" Konneke et al. 2005	ABC-type nitrate/sulfonate/bicarbonate transport system, ATPase component
ARWQ01000004_51	ARWQ01000004	44240	45274	-		"Nitrosopumilaceae" Konneke et al. 2005	sulfonate/nitrate/taurine transport system substrate-binding protein
ARWQ01000004_52	ARWQ01000004	45393	46580	+		"Nitrosopumilaceae" Konneke et al. 2005	Argininosuccinate synthase
ARWQ01000004_53	ARWQ01000004	46589	46756	+			hypothetical protein
ARWQ01000004_54	ARWQ01000004	46805	47614	+		Candidatus Nitrosopumilus sp. AR2	lysine biosynthesis protein LysX
ARWQ01000004_55	ARWQ01000004	47659	48711	+		"Nitrosopumilaceae" Konneke et al. 2005	Acetylglutamate semialdehyde dehydrogenase
ARWQ01000004_56	ARWQ01000004	48715	49518	+	2.7.2.8	"Nitrosopumilaceae" Konneke et al. 2005	kinase OS Nitrosopumilus maritimus (strain SCM1) GN argB PE 3 SV 1
ARWQ01000004_57	ARWQ01000004	49511	50686	+		Candidatus Nitrosoarchaeum limnia str. BG20	Ornithine/acetylornithine aminotransferase
ARWQ01000004_58	ARWQ01000004	50679	51095	+		"Nitrosopumilaceae" Konneke et al. 2005	Transcriptional regulators
ARWQ01000004_59	ARWQ01000004	51211	52380	+	2.3.3.13	Candidatus Nitrosoarchaeum	2-isopropylmalate synthase
ARWQ01000004_60	ARWQ01000004	52394	52561	+			hypothetical protein
ARWQ01000004_61	ARWQ01000004	52558	53406	+		Candidatus Nitrosoarchaeum koreensis	lysine biosynthesis protein LysX
ARWQ01000004_62	ARWQ01000004	53409	54533	+		"Nitrosopumilaceae" Konneke et al. 2005	acetyl-lysine deacetylase
ARWQ01000004_63	ARWQ01000004	54533	55570	+	2.1.1.98	Nitrosoarchaeum limnia	diphthine synthase
ARWQ01000004_64	ARWQ01000004	55615	56064	+	2.7.7.39	"Nitrosopumilaceae" Konneke et al. 2005	glycerol-3-phosphate cytidylyltransferase
ARWQ01000004_65	ARWQ01000004	56076	56753	-	2.7.1.161	"Nitrosopumilaceae" Konneke et al. 2005	kinase OS Cenarchaeum symbiosum (strain A) GN ribk PE 3 SV 1
ARWQ01000004_66	ARWQ01000004	56757	57899	-		"Nitrosopumilaceae" Konneke et al. 2005	DNA primase
ARWQ01000004_67	ARWQ01000004	58010	58474	-		Nitrosopumilaceae archaeon SFB1	iron-sulfur cluster assembly accessory protein
ARWQ01000004_68	ARWQ01000004	58557	59318	-		"Nitrosopumilaceae" Konneke et al. 2005	Enoyl-CoA hydratase/carnithine racemase
ARWQ01000004_69	ARWQ01000004	59353	61467	-		Candidatus Nitrosopumilus sp. AR2	CoA-binding domain-containing protein
ARWQ01000004_70	ARWQ01000004	61515	61892	+		Candidatus Nitrosoarchaeum limnia str. BG20	toprim domain-containing protein
ARWQ01000004_71	ARWQ01000004	61896	63170	-		"Nitrosopumilaceae" Konneke et al. 2005	Glutamate dehydrogenase/leucine dehydrogenase
ARWQ01000004_72	ARWQ01000004	63256	63630	-		Nitrosopumilus maritimus SCM1	pyridoxamine 5'-phosphate oxidase family protein
ARWQ01000004_73	ARWQ01000004	63733	64452	+		"Nitrosopumilaceae" Konneke et al. 2005	20S proteasome, alpha beta subunits
ARWQ01000004_74	ARWQ01000004	64490	65179	+		"Nitrosopumilaceae" Konneke et al. 2005	ubiquinone/menaquinone biosynthesis methyltransferase
ARWQ01000004_75	ARWQ01000004	65233	65577	+		"Nitrosopumilaceae" Konneke et al. 2005	sec-independent protein translocase TatA
ARWQ01000004_76	ARWQ01000004	65578	66309	-	2.1.1.72	"Nitrosopumilaceae" Konneke et al. 2005	putative adenine-specific DNA-methyltransferase
ARWQ01000004_77	ARWQ01000004	66765	67598	+		Nitrosoarchaeum limnia	short-chain dehydrogenase/reductase SDR
ARWQ01000004_78	ARWQ01000004	67707	69398	+	1.3.1.74	"Nitrosopumilaceae" Konneke et al. 2005	DNA topoisomerase I
ARWQ01000004_79	ARWQ01000004	69395	69562	-			hypothetical protein
ARWQ01000004_80	ARWQ01000004	69777	70967	+		Aigarchaeota	hypothetical protein
ARWQ01000004_81	ARWQ01000004	70979	71806	+		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
ARWQ01000004_82	ARWQ01000004	71796	71969	-			hypothetical protein
ARWQ01000004_83	ARWQ01000004	72435	73178	-		Candidatus Nitrosoarchaeum limnia str. BG20	metallophosphoesterase
ARWQ01000004_84	ARWQ01000004	73285	74313	+		Aigarchaeota	Isocitrate/isopropylmalate dehydrogenase
ARWQ01000004_85	ARWQ01000004	74302	74832	-		"Nitrosopumilaceae" Konneke et al. 2005	putative methylase
ARWQ01000004_86	ARWQ01000004	74819	75520	-		"Nitrosopumilaceae" Konneke et al. 2005	dimethyladenosine transferase
ARWQ01000004_87	ARWQ01000004	75517	76077	-		"Nitrosopumilus" Konneke et al. 2005	putative nucleotide binding protein
ARWQ01000004_88	ARWQ01000004	76101	76427	-	2.7.7.6	Aigarchaeota	DNA-directed RNA polymerase subunit F
ARWQ01000004_89	ARWQ01000004	76431	76730	-		Aigarchaeota	large subunit ribosomal protein L21e
ARWQ01000004_90	ARWQ01000004	76765	77868	-		Nitrosoarchaeum limnia	RecA/RadA recombinase
ARWQ01000004_91	ARWQ01000004	77953	78141	-			hypothetical protein
ARWQ01000004_92	ARWQ01000004	78186	79913	-		"Nitrosopumilaceae" Konneke et al. 2005	radical SAM domain-containing protein
ARWQ01000004_93	ARWQ01000004	79965	80792	-		"Nitrosopumilaceae" Konneke et al. 2005	dihydroorotate dehydrogenase electron transfer subunit
ARWQ01000005_0	ARWQ01000005	1	222	-		"Nitrosopumilus" Konneke et al. 2005	putative RNA-processing protein
ARWQ01000005_1	ARWQ01000005	240	551	-		Nitrosopumilaceae archaeon SFB1	Translation initiation factor 1 (IF-1)
ARWQ01000005_2	ARWQ01000005	590	883	-		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
ARWQ01000005_3	ARWQ01000005	883	1146	-		Aigarchaeota	translation initiation factor eIF-2 beta subunit
ARWQ01000005_4	ARWQ01000005	1152	1655	+		"Nitrosopumilaceae" Konneke et al. 2005	putative RNA-processing protein
ARWQ01000005_5	ARWQ01000005	1615	3483	+	5.99.1.3	"Nitrosopumilaceae" Konneke et al. 2005	DNA topoisomerase VI subunit B
ARWQ01000005_6	ARWQ01000005	3467	4564	+	5.99.1.3	"Nitrosopumilaceae" Konneke et al. 2005	DNA topoisomerase VI subunit A
ARWQ01000005_7	ARWQ01000005	4561	4923	-		"Nitrosopumilus" Konneke et al. 2005	hypothetical protein
ARWQ01000005_8	ARWQ01000005	5110	5478	+		"Nitrosopumilaceae" Konneke et al. 2005	hypothetical protein
ARWQ01000005_9	ARWQ01000005	5485	5916	+		Aigarchaeota	hypothetical protein
ARWQ01000005_10	ARWQ01000005	5966	6208	+		Candidatus Nitrosoarchaeum	hypothetical protein
ARWQ01000005_11	ARWQ01000005	6205	7011	-		"Nitrosopumilaceae" Konneke et al. 2005	Purine nucleoside phosphorylase
ARWQ01000005_12	ARWQ01000005	7011	7523	-		Candidatus Nitrosopumilus koreensis AR1	Adenine/guanine phosphoribosyltransferases related PRPP-binding proteins
ARWQ01000005_13	ARWQ01000005	7574	9724	-			hypothetical protein
ARWQ01000005_14	ARWQ01000005	9797	11875	-		marine archaeal group 1 strain BD31	hypothetical protein
ARWQ01000005_15	ARWQ01000005	12001	12864	+			hypothetical protein
